date,slot,o,h,l,c,range,body_ratio,close_dist,exp_ratio,med20,rel_range,broke,break_dir,reverted,reverted_first,max_ext,max_retrace,ctype,body_ratio_b,rel_range_b,close_dist_b,exp_ratio_b
2021-04-15,6,13873.5,13899.25,13864.5,13898.0,34.75,0.7050359712230215,0.9280575539568345,1.9857142857142858,26.125,1.3301435406698565,True,up,True,True,1.316546762589928,0.5971223021582733,expansion,high,high,high,high
2021-04-16,6,13992.5,14006.5,13987.0,14002.25,19.5,0.5,0.5641025641025641,0.7428571428571429,26.25,0.7428571428571429,True,up,False,False,2.717948717948718,0.1794871794871795,mixed,mid,low,mid,low
2021-04-19,6,14021.25,14023.0,13975.0,13989.5,48.0,0.6614583333333334,0.3958333333333333,2.3132530120481927,26.125,1.8373205741626795,True,down,False,False,0.3958333333333333,0.07291666666666667,expansion,high,high,mid,high
2021-04-20,6,13842.25,13858.5,13814.0,13850.25,44.5,0.1797752808988764,0.6292134831460674,0.5085714285714286,26.25,1.6952380952380952,True,up,False,False,0.34831460674157305,0.3089887640449438,mixed,low,high,mid,low
2021-04-21,6,13764.5,13788.25,13755.0,13787.0,33.25,0.6766917293233082,0.924812030075188,1.0075757575757576,28.125,1.1822222222222223,True,up,True,True,0.007518796992481203,1.9398496240601504,mixed,high,mid,high,mid
2021-04-22,6,13913.5,13916.0,13883.0,13900.5,33.0,0.3939393939393939,0.06060606060606061,1.736842105263158,30.0,1.1,True,down,True,True,0.06060606060606061,0.9924242424242424,mixed,mid,mid,low,high
2021-04-23,6,13769.5,13786.75,13768.25,13777.25,18.5,0.4189189189189189,0.02702702702702703,1.2758620689655173,30.5,0.6065573770491803,True,down,True,True,0.32432432432432434,0.7972972972972973,consolidation,mid,low,low,mid
2021-04-26,6,13884.0,13894.0,13876.0,13881.0,18.0,0.16666666666666666,0.4444444444444444,1.2857142857142858,30.0,0.6,True,down,True,False,0.5833333333333334,2.5416666666666665,consolidation,low,low,mid,mid
2021-04-27,6,14013.25,14033.5,14012.25,14030.0,21.25,0.788235294117647,0.6705882352941176,0.6692913385826772,28.125,0.7555555555555555,True,up,True,True,0.3058823529411765,0.5294117647058824,mixed,high,low,high,low
2021-04-28,6,13928.0,13942.5,13926.75,13936.25,15.75,0.5238095238095238,0.20634920634920634,0.6774193548387096,26.25,0.6,True,up,True,False,0.5079365079365079,1.5714285714285714,mixed,mid,low,low,low
2021-04-29,6,14021.5,14035.0,14015.5,14024.5,19.5,0.15384615384615385,0.07692307692307693,1.4181818181818182,26.125,0.7464114832535885,True,up,True,False,1.4871794871794872,0.5512820512820513,consolidation,low,low,low,high
2021-04-30,6,13885.25,13892.25,13833.25,13852.0,59.0,0.5635593220338984,0.3644067796610169,1.6857142857142857,26.125,2.2583732057416266,True,down,False,False,0.2288135593220339,0.4194915254237288,expansion,mid,high,mid,high
2021-05-03,6,13860.75,13893.0,13858.75,13876.0,34.25,0.44525547445255476,0.0072992700729927005,0.9785714285714285,28.125,1.2177777777777778,True,up,False,False,0.5985401459854015,0.3357664233576642,mixed,mid,mid,low,mid
2021-05-04,6,13753.25,13763.0,13732.25,13744.0,30.75,0.3008130081300813,0.23577235772357724,1.128440366972477,30.5,1.0081967213114753,True,down,False,False,2.6666666666666665,0.0975609756097561,mixed,mid,mid,low,mid
2021-05-05,6,13599.75,13624.0,13598.25,13616.75,25.75,0.6601941747572816,0.4368932038834951,1.1573033707865168,30.875,0.8340080971659919,True,down,True,True,0.1941747572815534,2.1359223300970873,mixed,high,mid,mid,mid
2021-05-06,6,13512.75,13546.0,13508.75,13510.25,37.25,0.06711409395973154,0.9194630872483222,0.645021645021645,30.875,1.2064777327935223,True,down,True,True,1.2818791946308725,0.5570469798657718,mixed,low,mid,high,low
2021-05-07,6,13633.5,13648.75,13626.75,13640.5,22.0,0.3181818181818182,0.25,0.9166666666666666,32.0,0.6875,True,down,True,True,0.4318181818181818,8.693181818181818,consolidation,mid,low,low,mid
2021-05-10,6,13673.0,13676.75,13650.25,13670.75,26.5,0.08490566037735849,0.5471698113207547,0.9217391304347826,31.875,0.8313725490196079,True,up,True,True,0.16981132075471697,1.349056603773585,mixed,low,mid,mid,mid
2021-05-11,6,13183.75,13194.75,13154.75,13183.25,40.0,0.0125,0.425,1.0256410256410255,28.625,1.3973799126637554,True,down,False,False,1.8875,0.45625,mixed,low,high,mid,mid
2021-05-12,6,13275.5,13302.75,13250.0,13258.75,52.75,0.3175355450236967,0.6682464454976303,1.0445544554455446,28.625,1.8427947598253276,True,up,True,True,0.04265402843601896,4.028436018957346,mixed,mid,high,mid,mid
2021-05-13,6,12956.5,12978.75,12936.0,12964.0,42.75,0.17543859649122806,0.30994152046783624,0.9,31.875,1.3411764705882352,True,up,False,False,3.2982456140350878,0.11695906432748537,mixed,low,high,low,mid
2021-05-14,6,13239.5,13246.5,13223.25,13226.25,23.25,0.5698924731182796,0.7419354838709677,0.4696969696969697,31.875,0.7294117647058823,True,down,True,True,0.9139784946236559,1.3548387096774193,mixed,high,low,high,low
2021-05-17,6,13346.5,13347.0,13325.5,13332.5,21.5,0.6511627906976745,0.3488372093023256,0.8113207547169812,31.875,0.6745098039215687,True,down,True,True,1.1395348837209303,0.5348837209302325,mixed,high,low,mid,low
2021-05-18,6,13405.75,13414.5,13387.75,13397.0,26.75,0.32710280373831774,0.308411214953271,1.1758241758241759,28.625,0.9344978165938864,True,down,False,False,1.2710280373831775,0.14953271028037382,mixed,mid,mid,low,mid
2021-05-19,6,13031.5,13067.0,13027.25,13056.0,39.75,0.6163522012578616,0.44654088050314467,0.6068702290076335,26.625,1.4929577464788732,True,down,False,False,1.5471698113207548,0.3018867924528302,expansion,high,high,mid,low
2021-05-20,6,13169.5,13195.75,13157.25,13195.0,38.5,0.6623376623376623,0.961038961038961,0.9625,26.625,1.4460093896713615,True,up,False,False,2.2337662337662336,0.07792207792207792,expansion,high,high,high,mid
2021-05-21,6,13515.5,13526.75,13508.25,13511.25,18.5,0.22972972972972974,0.6756756756756757,0.9487179487179487,26.625,0.6948356807511737,True,up,True,False,1.1891891891891893,0.6351351351351351,consolidation,low,low,high,mid
2021-05-24,6,13495.25,13498.75,13483.75,13491.75,15.0,0.23333333333333334,0.06666666666666667,0.425531914893617,26.625,0.5633802816901409,True,down,True,True,0.4666666666666667,2.35,consolidation,low,low,low,low
2021-05-25,6,13718.0,13726.0,13684.5,13686.75,41.5,0.7530120481927711,0.891566265060241,2.4411764705882355,26.625,1.5586854460093897,True,down,True,True,0.21084337349397592,0.8433734939759037,expansion,high,high,high,high
2021-05-26,6,13688.0,13703.5,13685.75,13700.25,17.75,0.6901408450704225,0.6338028169014085,0.5819672131147541,28.75,0.6173913043478261,True,up,True,False,1.408450704225352,0.5774647887323944,mixed,high,low,mid,low
