target,filter,n,P(target),P(stop),P(EOD exit),avg_R,win_rate,profit_factor
1.5x,all,854,0.761,0.172,0.067,-0.018,0.761,0.897
1.5x,sweep only,115,0.8,0.113,0.087,0.01,0.8,1.092
1.5x,close-through only,739,0.755,0.181,0.064,-0.022,0.755,0.878
2.0x,all,1091,0.632,0.266,0.103,-0.012,0.632,0.955
2.0x,sweep only,156,0.705,0.192,0.103,0.036,0.705,1.186
2.0x,close-through only,935,0.619,0.278,0.103,-0.02,0.619,0.929
2.5x,all,1160,0.513,0.334,0.153,-0.026,0.513,0.922
2.5x,sweep only,173,0.613,0.214,0.173,0.062,0.613,1.29
2.5x,close-through only,987,0.495,0.356,0.149,-0.042,0.495,0.883
3.0x,all,1203,0.42,0.383,0.197,-0.055,0.42,0.856
3.0x,sweep only,185,0.535,0.259,0.205,0.044,0.535,1.169
3.0x,close-through only,1018,0.399,0.406,0.195,-0.073,0.399,0.82
4.0x,all,1233,0.291,0.459,0.25,-0.128,0.291,0.721
4.0x,sweep only,191,0.361,0.377,0.262,-0.069,0.361,0.816
4.0x,close-through only,1042,0.278,0.474,0.248,-0.139,0.278,0.707
