date,direction,bo_minutes,trigger_minutes,trigger_rank,depth_at_trigger,dr_size,entry,dist_to_extreme_pts,leg_risk_pts,leg_stopped_first,leg_mfe_r,leg_hit_old_extreme,leg_r_old_extreme,leg_hit_ext_025,leg_r_ext_025,leg_hit_ext_05,leg_r_ext_05,trig_risk_pts,trig_stopped_first,trig_mfe_r,trig_hit_old_extreme,trig_r_old_extreme,trig_hit_ext_025,trig_r_ext_025,trig_hit_ext_05,trig_r_ext_05,depth_b
2021-04-05,up,0,90,1,0.1414141414141414,148.5,13548.5,9.25,11.75,False,5.659574468085107,True,0.7872340425531915,True,3.9468085106382977,False,2.8297872340425534,8.0,False,8.3125,True,1.15625,True,5.796875,False,4.15625,<25%
2021-04-05,up,0,160,2,0.12152269399707175,170.75,13574.75,5.25,15.5,False,2.596774193548387,True,0.3387096774193548,False,0.45161290322580644,False,0.45161290322580644,2.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-05,up,0,195,3,0.08811188811188811,178.75,13583.0,5.0,10.75,True,2.9767441860465116,True,0.46511627906976744,False,-1.0,False,-1.0,8.0,True,4.0,True,0.625,False,-1.0,False,-1.0,<25%
2021-04-05,up,0,215,4,0.043914680050188205,199.25,13605.25,3.25,5.5,True,0.22727272727272727,False,-1.0,False,-1.0,False,-1.0,5.5,True,0.22727272727272727,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-05,up,0,245,5,0.08155583437892096,199.25,13606.0,2.5,13.75,True,0.6545454545454545,True,0.18181818181818182,False,-1.0,False,-1.0,8.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-05,up,0,320,6,0.24787363304981774,205.75,13599.75,15.25,35.75,False,0.04895104895104895,False,-0.5034965034965035,False,-0.5034965034965035,False,-0.5034965034965035,31.0,False,0.056451612903225805,False,-0.5806451612903226,False,-0.5806451612903226,False,-0.5806451612903226,<25%
2021-04-06,up,35,65,1,0.22377622377622378,107.25,13633.0,13.0,11.0,True,2.0,True,1.1818181818181819,False,-1.0,False,-1.0,9.25,True,2.3783783783783785,True,1.4054054054054055,False,-1.0,False,-1.0,<25%
2021-04-06,up,35,80,2,0.11818181818181818,110.0,13644.5,4.25,8.75,True,1.2,True,0.4857142857142857,False,-1.0,False,-1.0,8.75,True,1.2,True,0.4857142857142857,False,-1.0,False,-1.0,<25%
2021-04-06,up,35,200,3,0.9376344086021505,116.25,13590.5,64.5,44.5,True,0.5955056179775281,False,-1.0,False,-1.0,False,-1.0,13.0,True,2.0384615384615383,False,-1.0,False,-1.0,False,-1.0,75-100%
2021-04-07,up,35,45,1,0.08860759493670886,118.5,13625.75,5.25,5.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,5.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-07,up,35,185,2,0.5928270042194093,118.5,13594.0,37.0,33.25,False,1.413533834586466,True,1.112781954887218,False,0.3233082706766917,False,0.3233082706766917,9.5,True,4.947368421052632,True,3.8947368421052633,False,-1.0,False,-1.0,50-75%
2021-04-07,up,35,270,3,0.22568093385214008,128.5,13633.0,8.0,21.0,True,0.10714285714285714,False,-1.0,False,-1.0,False,-1.0,17.5,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-09,up,80,290,1,0.2631578947368421,133.0,13786.75,4.5,30.5,False,1.7377049180327868,True,0.14754098360655737,True,1.2377049180327868,False,1.3934426229508197,19.5,False,2.717948717948718,True,0.23076923076923078,True,1.935897435897436,False,2.1794871794871793,25-50%
2021-04-09,up,80,315,2,0.0947867298578199,158.25,13813.5,3.0,12.0,False,2.1875,True,0.25,False,1.3125,False,1.3125,11.75,False,2.234042553191489,True,0.2553191489361702,False,1.3404255319148937,False,1.3404255319148937,<25%
2021-04-12,up,120,155,1,0.07161803713527852,94.25,13825.25,1.0,5.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,5.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-12,up,120,215,2,0.5322997416020672,96.75,13803.0,25.75,25.75,True,0.21359223300970873,False,-1.0,False,-1.0,False,-1.0,16.25,True,0.3384615384615385,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-04-12,up,120,275,3,0.627906976744186,96.75,13785.0,43.75,17.0,False,2.4558823529411766,False,1.588235294117647,False,1.588235294117647,False,1.588235294117647,12.0,True,0.3541666666666667,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-04-13,up,240,250,1,0.10526315789473684,95.0,13955.5,6.25,3.75,False,10.266666666666667,True,1.6666666666666667,True,8.0,False,5.333333333333333,3.75,False,10.266666666666667,True,1.6666666666666667,True,8.0,False,5.333333333333333,<25%
2021-04-14,down,25,90,1,0.41899441340782123,134.25,13882.5,28.25,28.0,True,0.38392857142857145,False,-1.0,False,-1.0,False,-1.0,28.0,True,0.38392857142857145,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-14,down,25,180,2,0.4729981378026071,134.25,13870.0,15.75,47.75,False,2.0366492146596857,True,0.3298429319371728,True,1.0327225130890052,True,1.7356020942408377,19.0,False,5.118421052631579,True,0.8289473684210527,True,2.5953947368421053,True,4.3618421052631575,25-50%
2021-04-14,down,25,315,3,0.28028503562945367,210.5,13784.75,6.75,52.25,False,0.22966507177033493,True,0.1291866028708134,False,-0.45454545454545453,False,-0.45454545454545453,23.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-15,up,0,75,1,0.6078431372549019,89.25,13971.0,41.25,13.0,True,0.17307692307692307,False,-1.0,False,-1.0,False,-1.0,6.0,True,0.0,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-04-15,up,0,110,2,0.773109243697479,89.25,13980.5,31.75,37.25,False,1.4429530201342282,True,0.8523489932885906,False,0.9530201342281879,False,0.9530201342281879,20.5,False,2.6219512195121952,True,1.548780487804878,False,1.7317073170731707,False,1.7317073170731707,75-100%
2021-04-15,up,0,190,3,0.13819095477386933,99.5,14020.0,2.5,11.25,True,0.022222222222222223,False,-1.0,False,-1.0,False,-1.0,9.5,True,0.02631578947368421,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-15,up,0,210,4,0.1658291457286432,99.5,14020.5,2.0,14.5,True,0.25862068965517243,True,0.13793103448275862,False,-1.0,False,-1.0,13.0,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-04-15,up,0,305,5,0.4567901234567901,101.25,14011.0,13.25,33.0,False,0.7045454545454546,True,0.4015151515151515,False,0.15151515151515152,False,0.15151515151515152,11.25,False,2.066666666666667,True,1.1777777777777778,False,0.4444444444444444,False,0.4444444444444444,25-50%
2021-04-19,down,15,50,1,0.5779967159277504,152.25,13917.25,56.25,31.75,False,3.031496062992126,True,1.7716535433070866,True,2.970472440944882,False,0.41732283464566927,28.75,False,3.347826086956522,True,1.9565217391304348,True,3.2804347826086957,False,0.4608695652173913,50-75%
2021-04-19,down,15,215,2,0.4070221066319896,192.25,13863.5,42.5,35.75,True,0.36363636363636365,False,-1.0,False,-1.0,False,-1.0,24.5,True,0.02040816326530612,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-20,down,10,130,1,0.4144893111638955,210.5,13767.5,48.25,39.0,True,0.8653846153846154,False,-1.0,False,-1.0,False,-1.0,20.25,True,0.3333333333333333,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-21,up,40,150,1,0.24857954545454544,176.0,13843.5,33.0,10.75,False,7.72093023255814,True,3.0697674418604652,True,7.162790697674419,False,7.0,8.25,False,10.06060606060606,True,4.0,True,9.333333333333334,False,9.121212121212121,<25%
2021-04-22,up,0,60,1,0.5574229691876751,89.25,13924.5,20.25,29.5,True,0.09322033898305085,False,-1.0,False,-1.0,False,-1.0,29.5,True,0.09322033898305085,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-04-22,up,0,115,2,0.6050420168067226,89.25,13925.0,19.75,34.25,True,0.48905109489051096,False,-1.0,False,-1.0,False,-1.0,7.5,True,2.2333333333333334,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-04-22,down,165,260,1,0.37037037037037035,243.0,13759.75,58.0,32.0,False,1.15625,False,0.2890625,False,0.2890625,False,0.2890625,17.5,True,0.32857142857142857,False,-1.0,False,-1.0,False,-1.0,25-50%
2021-04-23,up,0,20,1,0.1586021505376344,93.0,13862.0,7.0,7.75,False,15.35483870967742,True,0.9032258064516129,True,3.903225806451613,True,6.903225806451613,7.75,False,15.35483870967742,True,0.9032258064516129,True,3.903225806451613,True,6.903225806451613,<25%
2021-04-23,up,0,60,2,0.06205673758865248,141.0,13912.25,4.75,4.0,False,17.1875,True,1.1875,True,10.0,False,3.1875,4.0,False,17.1875,True,1.1875,True,10.0,False,3.1875,<25%
2021-04-23,up,0,120,3,0.11196319018404909,163.0,13933.0,6.0,12.25,False,3.9183673469387754,True,0.4897959183673469,True,3.816326530612245,False,-0.6530612244897959,11.0,True,4.363636363636363,True,0.5454545454545454,True,4.25,False,-1.0,<25%
2021-04-23,up,0,180,4,0.09190672153635117,182.25,13954.75,3.5,13.25,True,0.660377358490566,True,0.2641509433962264,False,-1.0,False,-1.0,6.75,True,1.2962962962962963,True,0.5185185185185185,False,-1.0,False,-1.0,<25%
2021-04-23,up,0,260,5,0.132,187.5,13963.25,0.25,24.5,True,0.7244897959183674,True,0.01020408163265306,False,-1.0,False,-1.0,12.25,True,0.5102040816326531,True,0.02040816326530612,False,-1.0,False,-1.0,<25%
2021-04-23,up,0,290,6,0.09948320413436693,193.5,13964.75,4.75,14.5,True,1.1206896551724137,True,0.3275862068965517,False,-1.0,False,-1.0,9.75,True,1.6666666666666667,True,0.48717948717948717,False,-1.0,False,-1.0,<25%
