date,dow,ib_open,ib_high,ib_low,ib_range,gap_points,pattern,first_touch,eod_close_loc,day_max_ext_up,day_max_ext_down,ib_range_pctile,prev_close,gap_pct,gap_dir
2021-04-01,3,13253.0,13319.25,13241.75,77.5,,none,high,0.9354838709677419,0.02903225806451613,0.0,,,,flat
2021-04-05,0,13419.0,13517.5,13409.25,108.25,104.75,up_only,high,1.5935334872979214,0.9006928406466512,0.0,,13314.25,0.007867510374223107,gap_up
2021-04-06,1,13567.75,13612.75,13538.75,74.0,-14.0,up_only,high,0.44256756756756754,0.5709459459459459,0.0,,13581.75,-0.001030795000644247,gap_down
2021-04-07,2,13552.5,13617.0,13512.5,104.5,-19.0,up_only,high,0.8827751196172249,0.22966507177033493,0.0,,13571.5,-0.0013999926316177282,gap_down
2021-04-08,3,13726.5,13755.0,13691.5,63.5,121.75,none,none,0.9173228346456693,0.0,0.0,,13604.75,0.008949080284459471,gap_up
2021-04-09,4,13689.5,13747.0,13658.25,88.75,-60.25,up_only,high,1.9267605633802818,1.0450704225352112,0.0,,13749.75,-0.004381897852688231,gap_down
2021-04-12,0,13784.5,13809.5,13742.5,67.0,-44.75,both_down_first,low,1.037313432835821,0.2873134328358209,0.15671641791044777,,13829.25,-0.003235894932841622,gap_down
2021-04-13,1,13877.25,13948.75,13866.75,82.0,65.25,up_only,high,1.326219512195122,0.551829268292683,0.0,,13812.0,0.004724152910512598,gap_up
2021-04-14,2,13983.0,13988.5,13916.25,72.25,7.5,down_only,low,-1.491349480968858,0.0,1.986159169550173,,13975.5,0.0005366534292154127,flat
2021-04-15,3,13929.0,13989.25,13923.0,66.25,120.5,up_only,high,1.4037735849056603,0.6792452830188679,0.0,,13808.5,0.008726509034290474,gap_up
2021-04-16,4,14038.75,14038.75,13953.75,85.0,22.75,up_only,high,0.9117647058823529,0.026470588235294117,0.0,,14016.0,0.0016231449771689497,gap_up
2021-04-19,0,13964.75,14013.25,13890.5,122.75,-66.5,down_only,low,0.109979633401222,0.0,0.5661914460285132,,14031.25,-0.004739420935412027,gap_down
2021-04-20,1,13874.0,13929.75,13852.0,77.75,-30.0,down_only,low,-0.6752411575562701,0.0,1.707395498392283,,13904.0,-0.00215765247410817,gap_down
2021-04-21,2,13747.0,13821.5,13700.5,121.0,-52.5,up_only,high,1.8037190082644627,0.8677685950413223,0.0,,13799.5,-0.0038044856697706437,gap_down
2021-04-22,3,13901.0,13919.5,13855.5,64.0,-17.75,both_up_first,high,-1.640625,0.39453125,2.40234375,,13918.75,-0.001275258194881006,gap_down
2021-04-23,4,13776.5,13853.0,13776.0,77.0,26.0,up_only,high,1.9350649350649352,1.6623376623376624,0.0,,13750.5,0.0018908403330787972,gap_up
2021-04-26,0,13933.75,13966.75,13902.25,64.5,8.75,up_only,high,1.7325581395348837,0.9224806201550387,0.0,,13925.0,0.0006283662477558348,flat
2021-04-27,1,14025.0,14034.75,13918.0,116.75,11.0,none,low,0.28693790149892934,0.0,0.047109207708779445,,14014.0,0.0007849293563579278,flat
2021-04-28,2,13939.75,13981.0,13885.5,95.5,-11.75,down_only,low,0.10732984293193717,0.013089005235602094,0.07853403141361257,,13951.5,-0.0008422033473103251,flat
2021-04-29,3,14042.0,14060.75,13921.5,139.25,146.25,down_only,low,0.24057450628366248,0.0,0.7396768402154399,1.0,13895.75,0.010524800748430275,gap_up
2021-04-30,4,13853.0,13946.25,13840.5,105.75,-102.0,both_up_first,high,0.1938534278959811,0.09929078014184398,0.14657210401891252,0.7619047619047619,13955.0,-0.007309208169115012,gap_down
2021-05-03,0,13915.0,13947.5,13851.0,96.5,54.0,down_only,low,-0.6269430051813472,0.0,0.8186528497409327,0.6818181818181818,13861.0,0.0038958228122069113,gap_up
2021-05-04,1,13683.25,13696.5,13493.0,203.5,-107.25,down_only,low,0.24692874692874692,0.0,0.5515970515970516,1.0,13790.5,-0.007777092926289838,gap_down
2021-05-05,2,13629.25,13665.5,13529.25,136.25,86.0,down_only,low,-0.25871559633027524,0.0,0.48807339449541287,0.9166666666666666,13543.25,0.006350026766101195,gap_up
2021-05-06,3,13484.75,13509.0,13388.75,120.25,-9.25,up_only,high,1.7276507276507276,0.7879417879417879,0.0,0.8,13494.0,-0.0006854898473395583,flat
2021-05-07,4,13714.5,13810.5,13661.5,149.0,118.0,none,none,0.30201342281879195,0.0,0.0,0.9615384615384616,13596.5,0.008678704078255434,gap_up
2021-05-10,0,13649.75,13657.75,13502.25,155.5,-56.75,down_only,low,-0.9389067524115756,0.0,0.9630225080385852,0.9629629629629629,13706.5,-0.004140371356655601,gap_down
2021-05-11,1,13113.25,13279.0,13084.75,194.25,-243.0,up_only,high,1.3346203346203347,0.4980694980694981,0.0,0.9642857142857143,13356.25,-0.018193729527374823,gap_down
2021-05-12,2,13132.75,13231.5,13102.25,129.25,-211.25,down_only,low,-0.8027079303675049,0.0,1.1025145067698259,0.7931034482758621,13344.0,-0.015831085131894483,gap_down
2021-05-13,3,13121.0,13213.75,13086.75,127.0,122.5,both_up_first,high,0.08464566929133858,0.07874015748031496,0.7047244094488189,0.7666666666666667,12998.5,0.009424164326653075,gap_up
2021-05-14,4,13232.0,13309.0,13208.75,100.25,134.5,up_only,high,1.7531172069825436,1.1695760598503742,0.0,0.5161290322580645,13097.5,0.010269135331170071,gap_up
2021-05-17,0,13313.5,13343.0,13237.5,105.5,-71.0,down_only,low,0.6469194312796208,0.0,0.518957345971564,0.5625,13384.5,-0.005304643430834174,gap_down
2021-05-18,1,13345.0,13382.5,13300.0,82.5,39.25,both_up_first,high,-1.0515151515151515,0.1696969696969697,1.1666666666666667,0.36363636363636365,13305.75,0.0029498525073746312,gap_up
