range_name,model,year,count,mean,sum
6am,failure,2021,100,-0.149,-14.9
6am,failure,2022,131,-0.087,-11.4
6am,failure,2023,156,0.091,14.2
6am,failure,2024,135,0.022,3.0
6am,failure,2025,138,-0.017,-2.3
6am,failure,2026,41,0.066,2.7
6am,retest,2021,191,0.024,4.5
6am,retest,2022,252,-0.179,-45.0
6am,retest,2023,250,0.012,3.0
6am,retest,2024,250,-0.154,-38.4
6am,retest,2025,249,-0.104,-25.9
6am,retest,2026,84,0.123,10.3
7am,failure,2021,97,-0.17,-16.5
7am,failure,2022,95,0.065,6.2
7am,failure,2023,128,0.042,5.4
7am,failure,2024,142,-0.093,-13.2
7am,failure,2025,130,0.097,12.6
7am,failure,2026,35,0.051,1.8
7am,retest,2021,144,0.086,12.4
7am,retest,2022,184,-0.012,-2.3
7am,retest,2023,207,-0.111,-23.0
7am,retest,2024,195,-0.045,-8.7
7am,retest,2025,189,0.034,6.5
7am,retest,2026,65,0.168,10.9
