date,range_name,model,side,range_width,entry_minute,entry,stop,target,stop_pts,late_fill,outcome,r,r_be25,minutes_to_exit
2021-04-01,6am,retest,short,18.0,456,13217.0,13223.923076923076,13208.0,6.9230769230769225,False,loss,-1.0,0.0,11
2021-04-01,7am,failure,short,28.5,484,13230.5,13241.461538461539,13216.25,10.961538461538462,False,loss,-1.0,-1.0,8
2021-04-02,6am,retest,short,19.5,489,13364.5,13372.0,13354.75,7.5,False,win,1.3,1.3,12
2021-04-02,6am,failure,short,19.5,487,13364.5,13372.0,13354.75,7.5,False,win,1.3,1.3,14
2021-04-02,7am,failure,short,11.5,482,13361.5,13365.923076923076,13355.75,4.423076923076923,False,loss,-1.0,0.0,5
2021-04-05,6am,retest,short,26.25,483,13385.25,13395.346153846154,13372.125,10.096153846153845,False,win,1.3,1.3,11
2021-04-05,6am,failure,short,26.25,481,13385.25,13395.346153846154,13372.125,10.096153846153845,False,win,1.3,1.3,13
2021-04-05,7am,retest,short,23.25,483,13384.75,13393.692307692309,13373.125,8.942307692307692,False,win,1.3,1.3,11
2021-04-06,7am,retest,short,36.75,535,13577.0,13591.134615384615,13558.625,14.134615384615383,False,loss,-1.0,-1.0,5
2021-04-07,6am,retest,short,24.75,608,13595.75,13605.26923076923,13583.375,9.519230769230768,True,loss,-1.0,0.0,3
2021-04-07,6am,retest,long,24.75,430,13571.0,13561.48076923077,13583.375,9.519230769230768,False,loss,-1.0,0.0,19
2021-04-07,7am,retest,long,21.0,510,13560.0,13551.923076923076,13570.5,8.076923076923077,False,loss,-1.0,-1.0,7
2021-04-08,6am,retest,short,30.0,604,13743.75,13755.288461538461,13728.75,11.538461538461538,True,win,1.3,1.3,1
2021-04-08,6am,retest,long,30.0,490,13713.75,13702.211538461539,13728.75,11.538461538461538,False,win,1.3,1.3,21
2021-04-08,6am,failure,short,30.0,578,13743.75,13755.288461538461,13728.75,11.538461538461538,True,win,1.3,1.3,1
2021-04-08,6am,failure,long,30.0,468,13713.75,13702.211538461539,13728.75,11.538461538461538,False,win,1.3,0.0,43
2021-04-08,7am,retest,short,20.75,580,13731.5,13739.48076923077,13721.125,7.980769230769231,True,win,1.3,0.0,3
