year,cell,count,mean,sum
2021,7am/failure/z0.0/pen>=5pts,5,-0.54,-2.7
2022,7am/failure/z0.0/pen>=5pts,10,0.84,8.4
2023,7am/failure/z0.0/pen>=5pts,5,0.38,1.9
2024,7am/failure/z0.0/pen>=5pts,13,0.238,3.1
2025,7am/failure/z0.0/pen>=5pts,22,-0.164,-3.6
2026,7am/failure/z0.0/pen>=5pts,3,0.533,1.6
2021,7am/failure/z0.05/pen>=5pts,5,-0.54,-2.7
2022,7am/failure/z0.05/pen>=5pts,10,0.84,8.4
2023,7am/failure/z0.05/pen>=5pts,4,0.15,0.6
2024,7am/failure/z0.05/pen>=5pts,11,0.045,0.5
2025,7am/failure/z0.05/pen>=5pts,22,-0.164,-3.6
2026,7am/failure/z0.05/pen>=5pts,3,1.3,3.9
2021,7am/failure/z0.0/pen>=0.5atr,34,-0.121,-4.1
2022,7am/failure/z0.0/pen>=0.5atr,17,0.353,6.0
2023,7am/failure/z0.0/pen>=0.5atr,23,0.1,2.3
2024,7am/failure/z0.0/pen>=0.5atr,27,0.193,5.2
2025,7am/failure/z0.0/pen>=0.5atr,36,0.022,0.8
2026,7am/failure/z0.0/pen>=0.5atr,4,0.725,2.9
2021,6am/failure/z0.05/pen>=0.5atr,18,-0.106,-1.9
2022,6am/failure/z0.05/pen>=0.5atr,28,0.068,1.9
2023,6am/failure/z0.05/pen>=0.5atr,34,0.015,0.5
2024,6am/failure/z0.05/pen>=0.5atr,30,0.303,9.1
2025,6am/failure/z0.05/pen>=0.5atr,22,0.045,1.0
2026,6am/failure/z0.05/pen>=0.5atr,6,0.15,0.9
2021,6am/failure/z0.0/pen>=0.5atr,18,-0.106,-1.9
2022,6am/failure/z0.0/pen>=0.5atr,29,0.031,0.9
2023,6am/failure/z0.0/pen>=0.5atr,34,0.015,0.5
2024,6am/failure/z0.0/pen>=0.5atr,31,0.187,5.8
2025,6am/failure/z0.0/pen>=0.5atr,24,0.054,1.3
2026,6am/failure/z0.0/pen>=0.5atr,6,0.15,0.9
