range,model,config,n,win_rate,avg_R,median_R,total_R,profit_factor
6am,failure,rr1.3->mid,701,0.429,-0.012,-1.0,-8.7,0.978
6am,failure,extreme->mid,701,0.076,-0.278,-1.0,-194.625,0.7
6am,failure,proj25->mid,701,0.31,-0.071,-1.0,-50.0,0.897
6am,failure,proj50->mid,701,0.491,-0.019,-1.0,-13.0,0.964
6am,failure,rr1.3->opp,701,0.412,-0.052,-1.0,-36.3,0.912
6am,failure,extreme->opp,701,0.041,-0.286,-1.0,-200.375,0.702
6am,failure,proj25->opp,701,0.194,-0.03,-1.0,-21.0,0.963
6am,failure,proj50->opp,701,0.321,-0.037,-1.0,-26.0,0.945
6am,failure,extreme 50@q25/50@mid,701,0.146,-0.207,-1.0,-145.407,0.757
6am,failure,extreme 50@mid/50@opp,701,0.076,-0.285,-1.0,-199.817,0.692
6am,failure,extreme 50@1R/50@2R,701,0.315,-0.303,-1.0,-212.5,0.557
6am,failure,proj25 50@q25/50@mid,701,0.468,-0.078,-1.0,-55.0,0.853
6am,failure,proj25 50@mid/50@opp,701,0.31,-0.044,-1.0,-31.0,0.936
6am,failure,proj25 50@1R/50@2R,701,0.468,-0.078,-1.0,-55.0,0.853
6am,failure,proj50 50@q25/50@mid,701,0.65,-0.031,0.25,-22.0,0.91
6am,failure,proj50 50@mid/50@opp,701,0.491,-0.016,-1.0,-11.0,0.969
6am,failure,proj50 50@1R/50@2R,701,0.491,-0.016,-1.0,-11.0,0.969
6am,retest,rr1.3->mid,1276,0.404,-0.072,-1.0,-91.5,0.88
6am,retest,extreme->mid,1276,0.312,0.016,-1.0,19.824,1.023
6am,retest,proj25->mid,1276,0.318,-0.045,-1.0,-58.0,0.933
6am,retest,proj50->mid,1276,0.469,-0.063,-1.0,-80.0,0.882
6am,retest,rr1.3->opp,1276,0.411,-0.054,-1.0,-69.453,0.907
6am,retest,extreme->opp,1276,0.209,0.099,-1.0,126.047,1.125
6am,retest,proj25->opp,1276,0.197,-0.018,-1.0,-23.086,0.977
6am,retest,proj50->opp,1276,0.312,-0.065,-1.0,-83.043,0.905
6am,retest,extreme 50@q25/50@mid,1276,0.462,0.025,-1.0,32.254,1.047
6am,retest,extreme 50@mid/50@opp,1276,0.312,0.044,-1.0,56.29,1.064
6am,retest,extreme 50@1R/50@2R,1276,0.515,0.022,0.5,28.5,1.046
6am,retest,proj25 50@q25/50@mid,1276,0.479,-0.058,-1.0,-73.5,0.889
6am,retest,proj25 50@mid/50@opp,1276,0.318,-0.042,-1.0,-53.043,0.939
6am,retest,proj25 50@1R/50@2R,1276,0.479,-0.058,-1.0,-73.5,0.889
6am,retest,proj50 50@q25/50@mid,1276,0.637,-0.056,0.25,-71.75,0.845
6am,retest,proj50 50@mid/50@opp,1276,0.469,-0.067,-1.0,-85.522,0.874
6am,retest,proj50 50@1R/50@2R,1276,0.469,-0.067,-1.0,-85.522,0.874
7am,failure,rr1.3->mid,627,0.432,-0.006,-1.0,-3.7,0.99
7am,failure,extreme->mid,627,0.078,-0.201,-1.0,-125.937,0.782
7am,failure,proj25->mid,627,0.322,-0.033,-1.0,-21.0,0.951
7am,failure,proj50->mid,627,0.498,-0.005,-1.0,-3.0,0.99
7am,failure,rr1.3->opp,627,0.424,-0.03,-1.0,-18.698,0.948
7am,failure,extreme->opp,627,0.041,-0.383,-1.0,-239.843,0.601
7am,failure,proj25->opp,627,0.198,-0.011,-1.0,-7.0,0.986
7am,failure,proj50->opp,627,0.325,-0.029,-1.0,-18.192,0.957
7am,failure,extreme 50@q25/50@mid,627,0.14,-0.137,-1.0,-85.695,0.841
7am,failure,extreme 50@mid/50@opp,627,0.078,-0.316,-1.0,-198.294,0.657
7am,failure,extreme 50@1R/50@2R,627,0.329,-0.276,-1.0,-173.0,0.589
7am,failure,proj25 50@q25/50@mid,627,0.477,-0.039,-1.0,-24.5,0.925
7am,failure,proj25 50@mid/50@opp,627,0.322,-0.018,-1.0,-11.0,0.974
7am,failure,proj25 50@1R/50@2R,627,0.477,-0.039,-1.0,-24.5,0.925
7am,failure,proj50 50@q25/50@mid,627,0.638,-0.034,0.25,-21.5,0.905
7am,failure,proj50 50@mid/50@opp,627,0.498,-0.003,-1.0,-2.0,0.994
7am,failure,proj50 50@1R/50@2R,627,0.498,-0.003,-1.0,-2.0,0.994
7am,retest,rr1.3->mid,984,0.433,-0.004,-1.0,-4.2,0.992
7am,retest,extreme->mid,984,0.306,-0.084,-1.0,-82.186,0.88
7am,retest,proj25->mid,984,0.317,-0.049,-1.0,-48.0,0.929
7am,retest,proj50->mid,984,0.51,0.02,1.0,20.0,1.041
7am,retest,rr1.3->opp,984,0.447,0.026,-1.0,25.204,1.046
7am,retest,extreme->opp,984,0.199,-0.071,-1.0,-70.127,0.911
7am,retest,proj25->opp,984,0.199,-0.011,-1.0,-10.809,0.986
7am,retest,proj50->opp,984,0.353,0.053,-1.0,51.947,1.082
7am,retest,extreme 50@q25/50@mid,984,0.441,-0.059,-1.0,-58.331,0.894
7am,retest,extreme 50@mid/50@opp,984,0.306,-0.083,-1.0,-81.213,0.881
7am,retest,extreme 50@1R/50@2R,984,0.506,0.009,0.5,8.953,1.018
7am,retest,proj25 50@q25/50@mid,984,0.506,0.015,0.5,15.0,1.031
7am,retest,proj25 50@mid/50@opp,984,0.317,-0.033,-1.0,-32.09,0.952
7am,retest,proj25 50@1R/50@2R,984,0.506,0.015,0.5,15.0,1.031
7am,retest,proj50 50@q25/50@mid,984,0.68,0.028,0.25,27.75,1.088
7am,retest,proj50 50@mid/50@opp,984,0.51,0.03,0.5,29.955,1.062
7am,retest,proj50 50@1R/50@2R,984,0.51,0.03,0.5,29.955,1.062
