range,model,config,n,win_rate,avg_R,median_R,total_R,profit_factor
6am,failure,rr1.3->mid,142,0.458,0.053,-1.0,7.5,1.097
6am,failure,extreme->mid,142,0.183,-0.022,-1.0,-3.067,0.974
6am,failure,proj25->mid,142,0.31,-0.07,-1.0,-10.0,0.898
6am,failure,proj50->mid,142,0.521,0.042,1.0,6.0,1.088
6am,failure,rr1.3->opp,142,0.437,0.004,-1.0,0.6,1.007
6am,failure,extreme->opp,142,0.099,-0.172,-1.0,-24.433,0.809
6am,failure,proj25->opp,142,0.19,-0.049,-1.0,-7.0,0.939
6am,failure,proj50->opp,142,0.338,0.014,-1.0,2.0,1.021
6am,failure,extreme 50@q25/50@mid,142,0.296,-0.052,-1.0,-7.409,0.926
6am,failure,extreme 50@mid/50@opp,142,0.183,-0.062,-1.0,-8.818,0.924
6am,failure,extreme 50@1R/50@2R,142,0.472,-0.039,-1.0,-5.5,0.927
6am,failure,proj25 50@q25/50@mid,142,0.444,-0.13,-1.0,-18.5,0.766
6am,failure,proj25 50@mid/50@opp,142,0.31,-0.056,-1.0,-8.0,0.918
6am,failure,proj25 50@1R/50@2R,142,0.444,-0.13,-1.0,-18.5,0.766
6am,failure,proj50 50@q25/50@mid,142,0.676,0.021,0.25,3.0,1.065
6am,failure,proj50 50@mid/50@opp,142,0.521,0.028,0.5,4.0,1.059
6am,failure,proj50 50@1R/50@2R,142,0.521,0.028,0.5,4.0,1.059
6am,retest,rr1.3->mid,1090,0.4,-0.08,-1.0,-87.2,0.867
6am,retest,extreme->mid,1090,0.35,-0.052,-1.0,-56.588,0.92
6am,retest,proj25->mid,1090,0.313,-0.061,-1.0,-67.0,0.911
6am,retest,proj50->mid,1090,0.466,-0.068,-1.0,-74.0,0.873
6am,retest,rr1.3->opp,1090,0.41,-0.058,-1.0,-62.853,0.902
6am,retest,extreme->opp,1090,0.236,0.009,-1.0,9.392,1.011
6am,retest,proj25->opp,1090,0.194,-0.029,-1.0,-32.086,0.963
6am,retest,proj50->opp,1090,0.313,-0.062,-1.0,-68.043,0.909
6am,retest,extreme 50@q25/50@mid,1090,0.506,-0.042,0.06,-45.808,0.915
6am,retest,extreme 50@mid/50@opp,1090,0.35,-0.034,-1.0,-36.869,0.948
6am,retest,extreme 50@1R/50@2R,1090,0.521,0.008,0.5,9.0,1.017
6am,retest,proj25 50@q25/50@mid,1090,0.476,-0.065,-1.0,-70.5,0.877
6am,retest,proj25 50@mid/50@opp,1090,0.313,-0.052,-1.0,-57.043,0.924
6am,retest,proj25 50@1R/50@2R,1090,0.476,-0.065,-1.0,-70.5,0.877
6am,retest,proj50 50@q25/50@mid,1090,0.637,-0.058,0.25,-63.0,0.841
6am,retest,proj50 50@mid/50@opp,1090,0.466,-0.069,-1.0,-75.522,0.87
6am,retest,proj50 50@1R/50@2R,1090,0.466,-0.069,-1.0,-75.522,0.87
7am,failure,rr1.3->mid,141,0.475,0.093,-1.0,13.1,1.177
7am,failure,extreme->mid,141,0.191,-0.017,-1.0,-2.399,0.979
7am,failure,proj25->mid,141,0.376,0.128,-1.0,18.0,1.205
7am,failure,proj50->mid,141,0.539,0.078,1.0,11.0,1.169
7am,failure,rr1.3->opp,141,0.489,0.129,-1.0,18.189,1.254
7am,failure,extreme->opp,141,0.099,-0.162,-1.0,-22.786,0.821
7am,failure,proj25->opp,141,0.241,0.206,-1.0,29.0,1.271
7am,failure,proj50->opp,141,0.362,0.085,-1.0,12.0,1.133
7am,failure,extreme 50@q25/50@mid,141,0.312,0.027,-1.0,3.777,1.039
7am,failure,extreme 50@mid/50@opp,141,0.191,-0.096,-1.0,-13.496,0.882
7am,failure,extreme 50@1R/50@2R,141,0.582,0.156,0.5,22.0,1.373
7am,failure,proj25 50@q25/50@mid,141,0.518,0.06,0.5,8.5,1.125
7am,failure,proj25 50@mid/50@opp,141,0.376,0.163,-1.0,23.0,1.261
7am,failure,proj25 50@1R/50@2R,141,0.518,0.06,0.5,8.5,1.125
7am,failure,proj50 50@q25/50@mid,141,0.652,-0.011,0.25,-1.5,0.969
7am,failure,proj50 50@mid/50@opp,141,0.539,0.092,0.5,13.0,1.2
7am,failure,proj50 50@1R/50@2R,141,0.539,0.092,0.5,13.0,1.2
7am,retest,rr1.3->mid,843,0.429,-0.012,-1.0,-10.4,0.978
7am,retest,extreme->mid,843,0.346,-0.048,-1.0,-40.414,0.927
7am,retest,proj25->mid,843,0.316,-0.053,-1.0,-45.0,0.922
7am,retest,proj50->mid,843,0.508,0.015,1.0,13.0,1.031
7am,retest,rr1.3->opp,843,0.444,0.019,-1.0,15.957,1.034
7am,retest,extreme->opp,843,0.227,-0.039,-1.0,-32.847,0.95
7am,retest,proj25->opp,843,0.198,-0.012,-1.0,-10.031,0.985
7am,retest,proj50->opp,843,0.352,0.054,-1.0,45.336,1.083
7am,retest,extreme 50@q25/50@mid,843,0.496,-0.017,-1.0,-14.341,0.966
7am,retest,extreme 50@mid/50@opp,843,0.346,-0.052,-1.0,-43.687,0.921
7am,retest,extreme 50@1R/50@2R,843,0.524,0.038,0.5,31.953,1.08
7am,retest,proj25 50@q25/50@mid,843,0.508,0.015,0.5,13.0,1.031
7am,retest,proj25 50@mid/50@opp,843,0.316,-0.036,-1.0,-30.016,0.948
7am,retest,proj25 50@1R/50@2R,843,0.508,0.015,0.5,13.0,1.031
7am,retest,proj50 50@q25/50@mid,843,0.68,0.025,0.25,21.25,1.079
7am,retest,proj50 50@mid/50@opp,843,0.508,0.027,0.5,22.492,1.054
7am,retest,proj50 50@1R/50@2R,843,0.508,0.027,0.5,22.492,1.054
