hypothesis,bucket,n,win_rate,lift,ci95,avg_R,win_6am,win_7am,consistent
H1 inside candle,False,3080,0.415,-0.006,0.017,-0.045,0.408,0.424,False
H1 inside candle,True,508,0.461,0.039,0.043,0.059,0.439,0.493,True
H2 overlap with prior hour,low,1639,0.428,0.007,0.024,-0.015,0.422,0.435,False
H2 overlap with prior hour,mid,1215,0.402,-0.02,0.028,-0.076,0.397,0.408,True
H2 overlap with prior hour,high,734,0.44,0.018,0.036,0.012,0.421,0.467,False
H3 break against candle dir,False,1407,0.403,-0.019,0.026,-0.073,0.412,0.391,True
H3 break against candle dir,True,2181,0.434,0.012,0.021,-0.002,0.413,0.457,False
H4 opposite side swept first,False,2737,0.43,0.008,0.019,-0.011,0.424,0.437,False
H4 opposite side swept first,True,851,0.395,-0.027,0.033,-0.092,0.383,0.416,True
H5 time to break,<=15m,1737,0.432,0.01,0.023,-0.007,0.405,0.463,False
H5 time to break,16-45m,1016,0.398,-0.024,0.03,-0.085,0.413,0.387,True
H5 time to break,>45m,835,0.43,0.008,0.034,-0.011,0.424,0.448,False
H6 bars spent outside,1 bar,2042,0.427,0.005,0.021,-0.019,0.42,0.435,False
H6 bars spent outside,2-3,519,0.445,0.023,0.043,0.024,0.42,0.473,False
H6 bars spent outside,>=4,1027,0.4,-0.021,0.03,-0.08,0.396,0.406,True
H7 broken edge vs overnight range,inside ON,2546,0.422,0.0,0.019,-0.03,0.418,0.427,False
H7 broken edge vs overnight range,at ON extreme,393,0.384,-0.037,0.048,-0.116,0.339,0.45,False
H7 broken edge vs overnight range,beyond ON,649,0.444,0.022,0.038,0.021,0.448,0.441,True
H8 fade with overnight trend,False,1885,0.444,0.022,0.022,0.02,0.415,0.475,False
H8 fade with overnight trend,True,1703,0.398,-0.024,0.023,-0.086,0.411,0.379,True
H9 breaking bar volume,low,727,0.409,-0.013,0.036,-0.06,0.423,0.39,False
H9 breaking bar volume,mid,727,0.414,-0.008,0.036,-0.048,0.402,0.428,False
H9 breaking bar volume,high,727,0.42,-0.002,0.036,-0.035,0.418,0.422,False
H10 entry delay after failure,<=5m,3261,0.423,0.001,0.017,-0.027,0.412,0.436,False
H10 entry delay after failure,6-20m,293,0.396,-0.026,0.056,-0.089,0.388,0.407,True
H11 day of week,Fri,699,0.435,0.013,0.037,0.0,0.402,0.475,False
H11 day of week,Mon,681,0.421,-0.0,0.037,-0.031,0.432,0.41,False
H11 day of week,Thu,754,0.427,0.005,0.035,-0.018,0.45,0.399,False
H11 day of week,Tue,721,0.408,-0.014,0.036,-0.062,0.376,0.45,False
H11 day of week,Wed,733,0.417,-0.004,0.036,-0.04,0.406,0.432,False
ref: penetration,shallow,1290,0.439,0.017,0.027,0.009,0.439,0.439,True
ref: penetration,mid,1122,0.418,-0.004,0.029,-0.039,0.404,0.434,False
ref: penetration,deep,1176,0.406,-0.015,0.028,-0.065,0.392,0.425,False
ref: relative range,small,1187,0.424,0.002,0.028,-0.025,0.423,0.425,False
ref: relative range,mid,1186,0.406,-0.016,0.028,-0.067,0.392,0.422,False
ref: relative range,large,1187,0.436,0.014,0.028,0.002,0.421,0.453,False
