tf,strategy,n,win_rate,avg_R,median_R,total_R,profit_factor
1m,"S1 breakout close (stop mid, tgt 1R ext)",1195,0.455,0.03,-0.239,36.089,1.064
1m,S1 + displacement Q4,282,0.486,0.063,-0.05,17.864,1.148
1m,S1 + FVG present,938,0.489,0.089,-0.051,83.523,1.199
1m,S1 + FVG + disp Q3/Q4,521,0.488,0.08,-0.05,41.864,1.183
1m,S1 early (10:30-12:00),997,0.449,0.034,-0.414,33.748,1.068
1m,S1 + narrow IB (bottom 40%),454,0.434,0.048,-0.934,21.853,1.092
1m,S1 + wide IB (top 40%),494,0.488,0.044,-0.042,21.494,1.106
1m,S2 retest limit at edge (tgt 0.5R ext),1128,0.519,0.037,0.159,41.508,1.086
1m,S2 retest limit at edge (tgt 1R ext),1128,0.428,0.019,-0.459,21.888,1.039
1m,S2 (0.5R) + FVG present,873,0.542,0.072,0.259,62.56,1.176
1m,S2 (0.5R) + displacement Q3/Q4,535,0.523,0.044,0.19,23.566,1.105
1m,S3 CISD fade to opposite edge,869,0.362,-0.018,-1.0,-15.501,0.969
1m,S3 + weak breakout (disp Q1/Q2),464,0.366,0.04,-1.0,18.758,1.069
1m,S3 + early CISD (<60m after breakout),657,0.326,-0.005,-1.0,-3.59,0.992
5m,"S1 breakout close (stop mid, tgt 1R ext)",1162,0.491,0.039,-0.064,44.892,1.089
5m,S1 + displacement Q4,254,0.528,0.095,0.097,24.104,1.258
5m,S1 + FVG present,896,0.533,0.122,0.104,109.108,1.309
5m,S1 + FVG + disp Q3/Q4,480,0.533,0.103,0.104,49.426,1.268
5m,S1 early (10:30-12:00),941,0.485,0.046,-0.096,43.439,1.101
5m,S1 + narrow IB (bottom 40%),448,0.482,0.063,-0.104,28.066,1.133
5m,S1 + wide IB (top 40%),488,0.512,0.046,0.031,22.509,1.121
5m,S2 retest limit at edge (tgt 0.5R ext),1048,0.535,0.063,0.232,66.271,1.154
5m,S2 retest limit at edge (tgt 1R ext),1048,0.449,0.049,-0.295,51.239,1.102
5m,S2 (0.5R) + FVG present,782,0.568,0.119,0.442,93.036,1.313
5m,S2 (0.5R) + displacement Q3/Q4,469,0.539,0.074,0.237,34.764,1.187
5m,S3 CISD fade to opposite edge,599,0.482,-0.026,-0.052,-15.28,0.936
5m,S3 + weak breakout (disp Q1/Q2),347,0.476,-0.033,-0.106,-11.481,0.923
5m,S3 + early CISD (<60m after breakout),331,0.429,-0.037,-0.552,-12.333,0.928
15m,"S1 breakout close (stop mid, tgt 1R ext)",1107,0.509,0.05,0.028,54.967,1.127
15m,S1 + displacement Q4,248,0.524,0.015,0.08,3.684,1.04
15m,S1 + FVG present,849,0.576,0.183,0.231,155.615,1.571
15m,S1 + FVG + disp Q3/Q4,446,0.549,0.095,0.147,42.582,1.285
15m,S1 early (10:30-12:00),877,0.502,0.049,0.008,42.689,1.117
15m,S1 + narrow IB (bottom 40%),431,0.501,0.085,0.018,36.431,1.199
15m,S1 + wide IB (top 40%),454,0.511,0.032,0.021,14.656,1.093
15m,S2 retest limit at edge (tgt 0.5R ext),937,0.554,0.101,0.334,94.847,1.262
15m,S2 retest limit at edge (tgt 1R ext),937,0.469,0.093,-0.131,87.023,1.204
15m,S2 (0.5R) + FVG present,683,0.616,0.226,1.0,154.651,1.702
15m,S2 (0.5R) + displacement Q3/Q4,418,0.555,0.096,0.261,39.964,1.244
15m,S3 CISD fade to opposite edge,340,0.506,-0.009,0.003,-3.098,0.967
15m,S3 + weak breakout (disp Q1/Q2),171,0.48,0.043,-0.02,7.387,1.146
15m,S3 + early CISD (<60m after breakout),121,0.479,0.021,-0.191,2.484,1.048
