size,pen_filter,config,n,win_rate,avg_R,total_R,profit_factor
small,all,rr1.3->mid,1186,0.432,-0.007,-8.4,0.988
small,all,rr1.3->opp,1186,0.413,-0.054,-63.467,0.909
small,all,proj25->mid,1186,0.317,-0.049,-58.0,0.928
small,all,proj25->opp,1186,0.193,-0.036,-43.031,0.955
small,all,extreme 50@1R/50@2R,1186,0.429,-0.121,-143.547,0.788
small,all,proj25 50@mid/50@opp,1186,0.317,-0.04,-47.016,0.942
small,pen>=0.5atr,rr1.3->mid,716,0.427,-0.017,-12.2,0.97
small,pen>=0.5atr,rr1.3->opp,716,0.422,-0.032,-23.131,0.944
small,pen>=0.5atr,proj25->mid,716,0.316,-0.053,-38.0,0.922
small,pen>=0.5atr,proj25->opp,716,0.196,-0.025,-18.031,0.969
small,pen>=0.5atr,extreme 50@1R/50@2R,716,0.521,0.02,14.453,1.042
small,pen>=0.5atr,proj25 50@mid/50@opp,716,0.316,-0.032,-23.016,0.953
mid,all,rr1.3->mid,1187,0.393,-0.095,-112.9,0.843
mid,all,rr1.3->opp,1187,0.425,-0.021,-25.078,0.963
mid,all,proj25->mid,1187,0.306,-0.083,-98.0,0.881
mid,all,proj25->opp,1187,0.19,-0.048,-57.0,0.941
mid,all,extreme 50@1R/50@2R,1187,0.457,-0.06,-71.5,0.889
mid,all,proj25 50@mid/50@opp,1187,0.306,-0.072,-85.0,0.897
mid,pen>=0.5atr,rr1.3->mid,753,0.392,-0.099,-74.5,0.837
mid,pen>=0.5atr,rr1.3->opp,753,0.424,-0.025,-18.878,0.956
mid,pen>=0.5atr,proj25->mid,753,0.309,-0.072,-54.0,0.896
mid,pen>=0.5atr,proj25->opp,753,0.19,-0.05,-38.0,0.938
mid,pen>=0.5atr,extreme 50@1R/50@2R,753,0.538,0.07,52.5,1.151
mid,pen>=0.5atr,proj25 50@mid/50@opp,753,0.309,-0.065,-49.0,0.906
large,all,rr1.3->mid,1185,0.438,0.007,8.7,1.013
large,all,rr1.3->opp,1185,0.435,-0.003,-3.825,0.994
large,all,proj25->mid,1185,0.325,-0.025,-30.0,0.962
large,all,proj25->opp,1185,0.209,0.043,50.766,1.054
large,all,extreme 50@1R/50@2R,1185,0.434,-0.113,-134.0,0.8
large,all,proj25 50@mid/50@opp,1185,0.325,0.002,2.883,1.004
large,pen>=0.5atr,rr1.3->mid,726,0.438,0.007,5.4,1.013
large,pen>=0.5atr,rr1.3->opp,726,0.446,0.025,17.824,1.044
large,pen>=0.5atr,proj25->mid,726,0.324,-0.029,-21.0,0.957
large,pen>=0.5atr,proj25->opp,726,0.212,0.058,41.914,1.073
large,pen>=0.5atr,extreme 50@1R/50@2R,726,0.508,-0.014,-10.5,0.971
large,pen>=0.5atr,proj25 50@mid/50@opp,726,0.324,-0.007,-5.043,0.99
